driverStandingsId,raceId,driverId,points,position,positionText,wins
199,7,69,0,26,26,0
200,7,40,0,27,27,0
201,7,12,0,28,28,0
202,7,67,0,29,29,0
203,7,7,0,30,30,0
204,8,13,9,1,1,1
205,8,72,6,2,2,0
206,8,1,4,3,3,0
207,8,76,3,4,4,0
208,8,18,2,5,5,0
209,8,24,0,6,6,0
210,8,19,0,7,7,0
211,8,78,0,8,8,0
212,8,5,0,9,9,0
213,8,8,0,10,10,0
214,8,79,0,11,11,0
215,8,31,0,12,12,0
216,8,12,0,13,13,0
217,8,71,0,14,14,0
218,8,32,0,15,15,0
219,8,74,0,16,16,0
220,8,80,0,17,17,0
221,8,4,0,18,18,0
222,8,26,0,19,19,0
223,8,27,0,20,20,0
224,8,81,0,21,21,0
225,9,13,9,1,1,1
226,9,40,9,2,2,1
227,9,82,6,3,3,0
228,9,72,6,4,4,0
229,9,1,4,5,5,0
230,9,84,3,6,6,0
231,9,76,3,7,7,0
232,9,48,2,8,8,0
233,9,85,2,9,9,0
234,9,18,2,10,10,0
235,9,83,2,11,11,0
236,9,24,0,12,12,0
237,9,59,0,13,13,0
238,9,19,0,14,14,0
239,9,86,0,15,15,0
240,9,46,0,16,16,0
241,9,78,0,17,17,0
242,9,5,0,18,18,0
243,9,8,0,19,19,0
244,9,79,0,20,20,0
245,9,31,0,21,21,0
246,9,12,0,22,22,0
247,9,71,0,23,23,0
248,9,39,0,24,24,0
249,9,87,0,25,25,0
250,9,88,0,26,26,0
251,9,89,0,27,27,0
252,9,60,0,28,28,0
253,9,36,0,29,29,0
254,9,41,0,30,30,0
255,10,1,12,1,1,1
256,10,13,10,2,2,1
257,10,40,9,3,3,1
258,10,24,6,4,4,0
259,10,72,6,5,5,0
260,10,82,6,6,6,0
261,10,26,4,7,7,0
262,10,5,3,8,8,0
263,10,76,3,9,9,0
264,10,84,3,10,10,0
265,10,48,2,11,11,0
266,10,4,2,12,12,0
267,10,85,2,13,13,0
268,10,18,2,14,14,0
269,10,83,2,15,15,0
270,10,59,0,16,16,0
271,10,98,0,17,17,0
272,10,12,0,18,18,0
273,10,19,0,19,19,0
274,10,86,0,20,20,0
275,10,46,0,21,21,0
276,10,67,0,22,22,0
277,10,78,0,23,23,0
278,10,8,0,24,24,0
279,10,79,0,25,25,0
280,10,31,0,26,26,0
281,10,71,0,27,27,0
282,10,39,0,28,28,0
283,10,87,0,29,29,0
284,10,88,0,30,30,0
285,11,13,15,1,1,2
286,11,1,14,2,2,1
287,11,40,9,3,3,1
288,11,24,9,4,4,0
289,11,26,8,5,5,0
290,11,72,6,6,6,0
291,11,82,6,7,7,0
292,11,2,4,8,8,1
293,11,27,3,9,9,0
294,11,5,3,10,10,0
295,11,76,3,11,11,0
296,11,84,3,12,12,0
297,11,3,3,13,13,0
298,11,48,2,14,14,0
299,11,4,2,15,15,0
300,11,18,2,16,16,0
301,11,85,2,17,17,0
302,11,83,2,18,18,0
303,11,19,0,19,19,0
304,11,59,0,20,20,0
305,11,98,0,21,21,0
306,11,12,0,22,22,0
307,11,86,0,23,23,0
308,11,46,0,24,24,0
309,11,68,0,25,25,0
310,11,67,0,26,26,0
311,11,78,0,27,27,0
312,11,71,0,28,28,0
313,11,8,0,29,29,0
314,11,79,0,30,30,0
315,12,13,21,1,1,2
316,12,1,15,2,2,1
317,12,26,12,3,3,0
318,12,27,11,4,4,1
319,12,40,9,5,5,1
320,12,24,9,6,6,0
321,12,72,6,7,7,0
322,12,82,6,8,8,0
323,12,3,5,9,9,0
324,12,2,4,10,10,1
325,12,76,3,11,11,0
326,12,5,3,12,12,0
327,12,64,3,13,13,0
328,12,84,3,14,14,0
329,12,48,2,15,15,0
330,12,4,2,16,16,0
331,12,18,2,17,17,0
332,12,85,2,18,18,0
333,12,83,2,19,19,0
334,12,19,0,20,20,0
335,12,59,0,21,21,0
336,12,98,0,22,22,0
337,12,12,0,23,23,0
338,12,86,0,24,24,0
339,12,22,0,25,25,0
340,12,46,0,26,26,0
341,12,68,0,27,27,0
342,12,67,0,28,28,0
