constructorStandingsId,raceId,constructorId,points,position,positionText,wins
227,89,6,15,3,3,0
228,89,33,6,4,4,0
229,89,57,3,5,5,0
230,89,67,0,6,6,0
231,89,4,0,7,7,0
232,89,68,0,8,8,0
233,89,61,0,9,9,0
234,89,63,0,10,10,0
235,89,69,0,11,11,0
236,90,56,38,1,1,4
237,90,55,19,2,2,1
238,90,6,15,3,3,0
239,90,33,6,4,4,0
240,90,57,3,5,5,0
241,90,67,0,6,6,0
242,90,4,0,7,7,0
243,90,68,0,8,8,0
244,90,69,0,9,9,0
245,90,61,0,10,10,0
246,90,46,0,11,11,0
247,90,63,0,12,12,0
248,91,56,46,1,1,5
249,91,55,25,2,2,1
250,91,6,16,3,3,0
251,91,33,6,4,4,0
252,91,57,3,5,5,0
253,91,61,0,6,6,0
254,91,67,0,7,7,0
255,91,4,0,8,8,0
256,91,63,0,9,9,0
257,91,69,0,10,10,0
258,91,68,0,11,11,0
259,91,46,0,12,12,0
260,92,56,48,1,1,6
261,92,55,28,2,2,1
262,92,6,19,3,3,0
263,92,33,6,4,4,0
264,92,57,3,5,5,0
265,92,61,0,6,6,0
266,92,67,0,7,7,0
267,92,4,0,8,8,0
268,92,63,0,9,9,0
269,92,69,0,10,10,0
270,92,68,0,11,11,0
271,92,46,0,12,12,0
272,93,56,48,1,1,6
273,93,55,28,2,2,1
274,93,6,26,3,3,1
275,93,33,6,4,4,0
276,93,57,3,5,5,0
277,93,69,3,6,6,0
278,93,54,1,7,7,0
279,93,67,0,8,8,0
280,93,61,0,9,9,0
281,93,4,0,10,10,0
282,93,63,0,11,11,0
283,93,68,0,12,12,0
284,93,46,0,13,13,0
285,94,56,48,1,1,6
286,94,55,34,2,2,2
287,94,6,26,3,3,1
288,94,33,8,4,4,0
289,94,57,3,5,5,0
290,94,69,3,6,6,0
291,94,54,1,7,7,0
292,94,67,0,8,8,0
293,94,68,0,9,9,0
294,94,61,0,10,10,0
295,94,4,0,11,11,0
296,94,63,0,12,12,0
297,94,46,0,13,13,0
298,95,71,9,1,1,1
299,95,6,6,2,2,0
300,95,54,2,3,3,0
301,95,56,1,4,4,0
302,95,57,0,5,5,0
303,95,33,0,6,6,0
304,95,52,0,7,7,0
305,96,6,15,1,1,1
306,96,71,13,2,2,1
307,96,54,2,3,3,0
308,96,56,2,4,4,0
309,96,57,0,5,5,0
310,96,33,0,6,6,0
311,96,52,0,7,7,0
312,97,6,24,1,1,2
313,97,71,13,2,2,1
314,97,56,4,3,3,0
315,97,54,3,4,4,0
316,97,57,0,5,5,0
317,97,33,0,6,6,0
318,97,52,0,7,7,0
319,98,6,33,1,1,3
320,98,71,17,2,2,1
321,98,54,9,3,3,0
322,98,56,6,4,4,0
323,98,33,1,5,5,0
324,98,57,0,6,6,0
325,98,52,0,7,7,0
326,98,72,0,8,8,0
327,98,63,0,9,9,0
328,99,6,42,1,1,4
329,99,71,17,2,2,1
330,99,54,11,3,3,0
331,99,56,9,4,4,0
332,99,33,1,5,5,0
333,99,57,0,6,6,0
334,99,73,0,7,7,0
335,99,52,0,8,8,0
336,99,72,0,9,9,0
337,99,63,0,10,10,0
338,100,6,42,1,1,4
339,100,71,26,2,2,2
340,100,54,11,3,3,0
341,100,56,10,4,4,0
342,100,33,1,5,5,0
343,100,57,0,6,6,0
344,100,73,0,7,7,0
345,100,52,0,8,8,0
346,100,72,0,9,9,0
347,100,75,0,10,10,0
348,100,63,0,11,11,0
349,101,6,45,1,1,5
350,101,71,26,2,2,2
351,101,54,17,3,3,0
352,101,56,13,4,4,0
353,101,33,3,5,5,0
354,101,57,0,6,6,0
355,101,73,0,7,7,0
356,101,76,0,8,8,0
357,101,77,0,9,9,0
358,101,52,0,10,10,0
359,101,72,0,11,11,0
360,101,63,0,12,12,0
361,101,75,0,13,13,0
362,102,6,45,1,1,5
363,102,71,35,2,2,3
364,102,54,22,3,3,0
365,102,56,14,4,4,0
366,102,33,7,5,5,0
367,102,57,0,6,6,0
368,102,73,0,7,7,0
369,102,76,0,8,8,0
370,102,77,0,9,9,0
371,102,52,0,10,10,0
372,102,72,0,11,11,0
373,102,63,0,12,12,0
374,102,75,0,13,13,0
375,103,33,9,1,1,1
376,103,71,6,2,2,0
377,103,6,4,3,3,0
378,103,56,2,4,4,0
379,103,54,1,5,5,0
380,103,52,0,6,6,0
381,103,78,0,7,7,0
382,104,56,11,1,1,1
383,104,33,10,2,2,1
384,104,6,10,3,3,0
385,104,71,6,4,4,0
386,104,78,3,5,5,0
387,104,54,3,6,6,0
388,104,52,0,7,7,0
389,104,79,0,8,8,0
390,104,77,0,9,9,0
391,105,33,16,1,1,1
392,105,71,15,2,2,1
393,105,6,14,3,3,0
394,105,56,11,4,4,1
395,105,78,5,5,5,0
396,105,54,3,6,6,0
397,105,52,0,7,7,0
398,105,79,0,8,8,0
399,105,77,0,9,9,0
400,106,33,20,1,1,1
401,106,56,17,2,2,1
402,106,71,15,3,3,1
403,106,6,14,4,4,0
404,106,54,12,5,5,1
405,106,78,7,6,6,0
406,106,8,0,7,7,0
407,106,79,0,8,8,0
408,106,52,0,9,9,0
409,106,55,0,10,10,0
410,106,77,0,11,11,0
411,107,71,24,1,1,2
412,107,33,23,2,2,1
413,107,56,21,3,3,1
414,107,6,14,4,4,0
415,107,78,13,5,5,0
416,107,54,12,6,6,1
417,107,52,0,7,7,0
418,107,8,0,8,8,0
419,107,79,0,9,9,0
420,107,55,0,10,10,0
421,107,77,0,11,11,0
422,107,73,0,12,12,0
423,108,33,31,1,1,2
424,108,71,27,2,2,2
425,108,56,23,3,3,1
426,108,78,19,4,4,0
427,108,54,16,5,5,1
428,108,6,15,6,6,0
429,108,52,0,7,7,0
430,108,80,0,8,8,0
431,108,8,0,9,9,0
432,108,79,0,10,10,0
433,108,55,0,11,11,0
434,108,81,0,12,12,0
435,108,73,0,13,13,0
436,108,77,0,14,14,0
437,109,33,37,1,1,3
438,109,71,27,2,2,2
439,109,56,25,3,3,1
440,109,78,19,4,4,0
441,109,6,18,5,5,0
442,109,54,17,6,6,1
443,109,52,0,7,7,0
444,109,79,0,8,8,0
445,109,80,0,9,9,0
446,109,8,0,10,10,0
447,109,55,0,11,11,0
448,109,81,0,12,12,0
449,109,73,0,13,13,0
450,109,77,0,14,14,0
451,109,72,0,15,15,0
452,109,82,0,16,16,0
453,109,88,0,17,17,0
454,110,33,39,1,1,3
455,110,71,36,2,2,3
456,110,56,27,3,3,1
457,110,78,19,4,4,0
458,110,54,18,5,5,1
459,110,6,18,6,6,0
460,110,81,3,7,7,0
461,110,79,1,8,8,0
462,110,52,0,9,9,0
463,110,80,0,10,10,0
464,110,8,0,11,11,0
465,110,55,0,12,12,0
466,110,73,0,13,13,0
467,110,77,0,14,14,0
468,110,72,0,15,15,0
469,110,82,0,16,16,0
470,110,88,0,17,17,0
471,111,33,42,1,1,4
472,111,71,36,2,2,3
473,111,56,29,3,3,1
474,111,78,19,4,4,0
475,111,54,18,5,5,1
476,111,6,18,6,6,0
477,111,81,6,7,7,0
478,111,79,1,8,8,0
479,111,52,0,9,9,0
480,111,80,0,10,10,0
481,111,8,0,11,11,0
482,111,83,0,12,12,0
483,111,84,0,13,13,0
484,111,55,0,14,14,0
485,111,73,0,15,15,0
486,111,77,0,16,16,0
487,111,72,0,17,17,0
488,111,82,0,18,18,0
489,111,88,0,19,19,0
490,112,33,9,1,1,1
491,112,56,4,2,2,0
492,112,6,3,3,3,0
493,112,71,1,4,4,0
494,112,79,0,5,5,0
495,112,78,0,6,6,0
496,112,81,0,7,7,0
497,112,85,0,8,8,0
498,112,86,0,9,9,0
499,112,82,0,10,10,0
500,112,54,0,11,11,0
501,113,33,12,1,1,1
502,113,71,10,2,2,1
503,113,56,10,3,3,0
504,113,81,4,4,4,0
505,113,6,3,5,5,0
506,113,54,1,6,6,0
507,113,86,0,7,7,0
508,113,79,0,8,8,0
509,113,78,0,9,9,0
510,113,85,0,10,10,0
511,113,87,0,11,11,0
512,113,82,0,12,12,0
513,114,71,19,1,1,2
514,114,33,14,2,2,1
515,114,56,10,3,3,0
516,114,81,10,4,4,0
517,114,6,7,5,5,0
518,114,87,3,6,6,0
519,114,54,1,7,7,0
520,114,79,0,8,8,0
521,114,86,0,9,9,0
522,114,78,0,10,10,0
523,114,85,0,11,11,0
524,114,82,0,12,12,0
525,115,71,28,1,1,3
526,115,56,16,2,2,0
527,115,33,14,3,3,1
528,115,81,13,4,4,0
529,115,6,7,5,5,0
530,115,87,3,6,6,0
531,115,79,1,7,7,0
532,115,54,1,8,8,0
533,115,78,0,9,9,0
534,115,86,0,10,10,0
535,115,85,0,11,11,0
536,115,82,0,12,12,0
537,116,71,37,1,1,4
538,116,33,18,2,2,1
539,116,56,16,3,3,0
540,116,81,13,4,4,0
541,116,6,13,5,5,0
542,116,87,3,6,6,0
543,116,79,2,7,7,0
544,116,54,1,8,8,0
545,116,78,0,9,9,0
546,116,86,0,10,10,0
547,116,85,0,11,11,0
548,116,73,0,12,12,0
549,116,82,0,13,13,0
550,117,71,43,1,1,4
551,117,33,22,2,2,1
552,117,6,22,3,3,1
553,117,56,17,4,4,0
554,117,81,13,5,5,0
555,117,54,4,6,6,0
556,117,79,4,7,7,0
557,117,87,3,8,8,0
558,117,78,0,9,9,0
559,117,86,0,10,10,0
560,117,85,0,11,11,0
561,117,73,0,12,12,0
562,117,82,0,13,13,0
563,117,88,0,14,14,0
564,118,71,51,1,1,5
565,118,33,28,2,2,1
566,118,6,22,3,3,1
567,118,56,21,4,4,0
568,118,81,15,5,5,0
569,118,87,6,6,6,0
570,118,54,4,7,7,0
571,118,79,4,8,8,0
572,118,78,0,9,9,0
573,118,86,0,10,10,0
574,118,85,0,11,11,0
575,118,73,0,12,12,0
576,118,82,0,13,13,0
577,118,57,0,14,14,0
578,118,88,0,15,15,0
579,118,89,0,16,16,0
580,118,76,0,17,17,0
581,119,71,51,1,1,5
582,119,33,35,2,2,2
583,119,6,24,3,3,1
584,119,56,21,4,4,0
585,119,81,18,5,5,0
586,119,87,6,6,6,0
587,119,54,5,7,7,0
588,119,79,4,8,8,0
589,119,78,0,9,9,0
590,119,90,0,10,10,0
591,119,86,0,11,11,0
592,119,85,0,12,12,0
593,119,73,0,13,13,0
594,119,82,0,14,14,0
595,119,57,0,15,15,0
596,119,88,0,16,16,0
597,119,89,0,17,17,0
598,119,76,0,18,18,0
599,120,71,54,1,1,6
600,120,33,36,2,2,2
601,120,6,24,3,3,1
602,120,81,24,4,4,0
603,120,56,23,5,5,0
604,120,87,6,6,6,0
605,120,54,5,7,7,0
606,120,79,4,8,8,0
607,120,78,0,9,9,0
608,120,90,0,10,10,0
609,120,86,0,11,11,0
610,120,85,0,12,12,0
611,120,73,0,13,13,0
612,120,82,0,14,14,0
613,120,55,0,15,15,0
614,120,57,0,16,16,0
615,120,88,0,17,17,0
616,120,89,0,18,18,0
617,120,76,0,19,19,0
618,121,71,54,1,1,7
619,121,33,36,2,2,2
620,121,81,28,3,3,0
621,121,6,26,4,4,1
622,121,56,25,5,5,0
623,121,87,6,6,6,0
624,121,54,5,7,7,0
625,121,79,4,8,8,0
626,121,78,0,9,9,0
627,121,90,0,10,10,0
628,121,86,0,11,11,0
629,121,85,0,12,12,0
630,121,83,0,13,13,0
631,121,57,0,14,14,0
632,121,91,0,15,15,0
633,121,1,0,16,16,0
634,121,73,0,17,17,0
635,121,82,0,18,18,0
636,121,55,0,19,19,0
637,121,88,0,20,20,0
638,121,89,0,21,21,0
639,121,76,0,22,22,0
640,122,33,9,1,1,1
641,122,71,4,2,2,0
642,122,56,2,3,3,0
643,122,79,1,4,4,0
644,122,92,0,5,5,0
645,122,6,0,6,6,0
646,122,87,0,7,7,0
647,122,86,0,8,8,0
648,123,71,13,1,1,1
649,123,33,12,2,2,1
650,123,6,6,3,3,0
651,123,79,3,4,4,0
652,123,56,2,5,5,0
653,123,92,1,6,6,0
654,123,93,0,7,7,0
655,123,87,0,8,8,0
656,123,54,0,9,9,0
657,123,86,0,10,10,0
658,124,71,22,1,1,2
659,124,33,15,2,2,1
660,124,56,8,3,3,0
661,124,6,6,4,4,0
662,124,92,5,5,5,0
663,124,79,3,6,6,0
664,124,87,0,7,7,0
665,124,93,0,8,8,0
666,124,86,0,9,9,0
667,124,54,0,10,10,0
668,125,71,25,1,1,2
669,125,33,21,2,2,1
670,125,92,14,3,3,1
671,125,56,9,4,4,0
672,125,6,6,5,5,0
673,125,79,3,6,6,0
674,125,87,0,7,7,0
675,125,93,0,8,8,0
676,125,86,0,9,9,0
677,125,54,0,10,10,0
678,126,71,34,1,1,3
679,126,33,27,2,2,1
680,126,92,17,3,3,1
681,126,6,10,4,4,0
682,126,56,10,5,5,0
683,126,79,3,6,6,0
684,126,87,0,7,7,0
685,126,93,0,8,8,0
686,126,86,0,9,9,0
687,126,54,0,10,10,0
688,126,94,0,11,11,0
689,127,71,34,1,1,3
690,127,33,33,2,2,1
691,127,6,19,3,3,1
692,127,92,17,4,4,1
693,127,56,10,5,5,0
694,127,93,3,6,6,0
695,127,79,3,7,7,0
696,127,87,0,8,8,0
697,127,95,0,9,9,0
698,127,86,0,10,10,0
699,127,54,0,11,11,0
