resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
21750,901,795,185,3.0,2,4.0,4,4,12.0,54,+27.136,5635474.0,39.0,3.0,1:41.473,193.387,1
21751,901,777,185,1.0,3,5.0,5,5,10.0,54,+47.778,5656116.0,37.0,5.0,1:42.169,192.070,1
21752,901,786,192,27.0,8,6.0,6,6,8.0,54,+54.295,5662633.0,33.0,10.0,1:42.624,191.218,1
21753,901,799,137,77.0,7,7.0,7,7,6.0,54,+55.697,5664035.0,52.0,11.0,1:42.660,191.151,1
21754,901,741,6,7.0,11,8.0,8,8,4.0,54,+1:16.335,5684673.0,34.0,8.0,1:42.300,191.824,1
21755,901,794,192,11.0,16,9.0,9,9,2.0,54,+1:22.647,5690985.0,32.0,6.0,1:42.228,191.959,1
21756,901,804,186,26.0,13,10.0,10,10,1.0,53,,,33.0,17.0,1:43.337,189.899,15
21757,901,738,114,22.0,12,11.0,11,11,0.0,53,,,30.0,18.0,1:43.375,189.829,15
21758,901,796,186,25.0,9,12.0,12,12,0.0,53,,,34.0,14.0,1:42.896,190.712,15
21759,901,803,114,20.0,15,13.0,13,13,0.0,53,,,33.0,12.0,1:42.701,191.075,15
21760,901,793,197,13.0,22,14.0,14,14,0.0,53,,,34.0,15.0,1:43.067,190.396,15
21761,901,749,137,19.0,6,15.0,15,15,0.0,53,,,34.0,9.0,1:42.379,191.676,15
21762,901,798,176,21.0,17,16.0,16,16,0.0,53,,,42.0,7.0,1:42.257,191.904,15
21763,901,800,198,17.0,19,17.0,17,17,0.0,53,,,36.0,21.0,1:44.825,187.203,15
21764,901,785,199,10.0,18,18.0,18,18,0.0,53,,,48.0,16.0,1:43.323,189.924,15
21765,901,801,198,4.0,21,19.0,19,19,0.0,52,,,50.0,13.0,1:42.875,190.751,2
21766,901,805,199,9.0,20,20.0,20,20,0.0,52,,,30.0,19.0,1:43.620,189.380,2
21767,901,784,197,8.0,10,,R,21,0.0,28,,,4.0,20.0,1:44.366,188.026,13
21768,901,776,176,99.0,14,,R,22,0.0,5,,,2.0,22.0,1:58.376,165.773,9
21769,902,774,45,44.0,1,1.0,1,1,25.0,66,1:41:05.155,6065155.0,54.0,3.0,1:29.483,187.275,1
21770,902,768,45,6.0,2,2.0,2,2,18.0,66,+0.636,6065791.0,51.0,2.0,1:29.236,187.794,1
21771,902,795,185,3.0,3,3.0,3,3,15.0,66,+49.014,6114169.0,65.0,5.0,1:30.012,186.175,1
21772,902,777,185,1.0,15,4.0,4,4,12.0,66,+1:16.702,6141857.0,55.0,1.0,1:28.918,188.465,1
21773,902,799,137,77.0,4,5.0,5,5,10.0,66,+1:19.293,6144448.0,47.0,8.0,1:30.424,185.326,1
21774,902,742,6,14.0,7,6.0,6,6,8.0,66,+1:27.743,6152898.0,55.0,4.0,1:29.898,186.411,1
21775,902,741,6,7.0,6,7.0,7,7,6.0,65,,,53.0,11.0,1:30.580,185.007,15
21776,902,784,197,8.0,5,8.0,8,8,4.0,65,,,47.0,14.0,1:31.068,184.016,15
21777,902,794,192,11.0,11,9.0,9,9,2.0,65,,,39.0,13.0,1:30.756,184.648,15
21778,902,786,192,27.0,10,10.0,10,10,1.0,65,,,42.0,16.0,1:31.411,183.325,15
21779,902,738,114,22.0,8,11.0,11,11,0.0,65,,,43.0,10.0,1:30.563,185.042,15
21780,902,803,114,20.0,14,12.0,12,12,0.0,65,,,43.0,7.0,1:30.318,185.544,15
21781,902,749,137,19.0,9,13.0,13,13,0.0,65,,,55.0,9.0,1:30.468,185.236,15
21782,902,804,186,26.0,12,14.0,14,14,0.0,65,,,59.0,6.0,1:30.269,185.645,15
21783,902,793,197,13.0,22,15.0,15,15,0.0,65,,,39.0,15.0,1:31.235,183.679,15
21784,902,798,176,21.0,13,16.0,16,16,0.0,65,,,55.0,12.0,1:30.666,184.832,15
21785,902,776,176,99.0,16,17.0,17,17,0.0,65,,,38.0,17.0,1:31.473,183.201,15
21786,902,800,198,17.0,18,18.0,18,18,0.0,64,,,46.0,20.0,1:31.784,182.580,2
21787,902,801,198,4.0,17,19.0,19,19,0.0,64,,,44.0,18.0,1:31.767,182.614,2
21788,902,805,199,9.0,19,20.0,20,20,0.0,64,,,54.0,22.0,1:33.350,179.517,2
21789,902,785,199,10.0,20,,R,21,0.0,34,,,25.0,21.0,1:33.064,180.069,37
21790,902,796,186,25.0,21,,R,22,0.0,24,,,18.0,19.0,1:31.781,182.586,55
21791,903,768,45,6.0,1,1.0,1,1,25.0,78,1:49:27.661,6567661.0,33.0,4.0,1:19.425,151.388,1
21792,903,774,45,44.0,2,2.0,2,2,18.0,78,+9.210,6576871.0,34.0,3.0,1:19.361,151.510,1
21793,903,795,185,3.0,3,3.0,3,3,15.0,78,+9.614,6577275.0,70.0,2.0,1:19.252,151.718,1
21794,903,742,6,14.0,5,4.0,4,4,12.0,78,+32.452,6600113.0,54.0,5.0,1:19.727,150.814,1
21795,903,786,192,27.0,11,5.0,5,5,10.0,77,,,38.0,9.0,1:20.767,148.872,15
21796,903,738,114,22.0,12,6.0,6,6,8.0,77,,,42.0,12.0,1:21.047,148.358,15
21797,903,749,137,19.0,16,7.0,7,7,6.0,77,,,48.0,6.0,1:20.314,149.712,15
