constructorId,constructorRef,name,nationality,url
145,ligier,Ligier,French,http://en.wikipedia.org/wiki/Ligier
146,boro,Boro,Dutch,http://en.wikipedia.org/wiki/Boro_(Formula_One)
147,kojima,Kojima,Japanese,http://en.wikipedia.org/wiki/Kojima_Engineering
148,lec,LEC,British,http://en.wikipedia.org/wiki/LEC_(Formula_One)
149,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
150,merzario,Merzario,Italian,http://en.wikipedia.org/wiki/Merzario
151,theodore,Theodore,Hong Kong,http://en.wikipedia.org/wiki/Theodore_Racing
152,arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International
153,martini,Martini,French,http://en.wikipedia.org/wiki/Martini_(cars)
154,kauhsen,Kauhsen,German,http://en.wikipedia.org/wiki/Kauhsen
155,rebaque,Rebaque,Mexican,http://en.wikipedia.org/wiki/Rebaque
156,osella,Osella,Italian,http://en.wikipedia.org/wiki/Osella
157,toleman,Toleman,British,http://en.wikipedia.org/wiki/Toleman
158,ram,RAM,British,http://en.wikipedia.org/wiki/RAM_Racing
159,spirit,Spirit,British,http://en.wikipedia.org/wiki/Spirit_(racing_team)
160,minardi,Minardi,Italian,http://en.wikipedia.org/wiki/Minardi
161,zakspeed,Zakspeed,German,http://en.wikipedia.org/wiki/Zakspeed
162,benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula
163,ags,AGS,French,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives
164,larrousse,Larrousse,French,http://en.wikipedia.org/wiki/Larrousse
165,coloni,Coloni,Italian,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems
166,rial,Rial,German,http://en.wikipedia.org/wiki/Rial_%28racing_team%29
167,eurobrun,Euro Brun,Italian,http://en.wikipedia.org/wiki/Euro_Brun
168,dallara,Dallara,Italian,http://en.wikipedia.org/wiki/Dallara
169,onyx,Onyx,British,http://en.wikipedia.org/wiki/Onyx_(racing_team)
170,leyton,Leyton House,British,http://en.wikipedia.org/wiki/Leyton_House
171,lambo,Lambo,Italian,http://en.wikipedia.org/wiki/Modena_(racing_team)
172,jordan,Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix
173,footwork,Footwork,British,http://en.wikipedia.org/wiki/Footwork_Arrows
