race,driver,quali_pos
Circuit de Monaco,Fernando Alonso,7
Circuit de Monaco,Max Verstappen,4
Circuit de Monaco,Sergio Pérez,3
Circuit de Monaco,Yuki Tsunoda,11
Circuit de Monaco,Nicholas Latifi,19
Circuit de Monaco,Daniel Ricciardo,14
Circuit de Monaco,Lance Stroll,18
Circuit de Monaco,George Russell,6
Circuit de Monaco,Lewis Hamilton,8
Circuit de Monaco,Charles Leclerc,1
Circuit de Monaco,Carlos Sainz,2
Circuit de Monaco,Alexander Albon,16
Circuit de Monaco,Guanyu Zhou,20
Circuit de Monaco,Valtteri Bottas,12
Circuit de Monaco,Sebastian Vettel,9
Baku City Circuit,Lando Norris,11
Baku City Circuit,Pierre Gasly,6
Baku City Circuit,Mick Schumacher,20
Baku City Circuit,Kevin Magnussen,16
Baku City Circuit,Esteban Ocon,13
Baku City Circuit,Fernando Alonso,10
Baku City Circuit,Max Verstappen,3
Baku City Circuit,Sergio Pérez,2
Baku City Circuit,Yuki Tsunoda,8
Baku City Circuit,Nicholas Latifi,18
Baku City Circuit,Daniel Ricciardo,12
Baku City Circuit,Lance Stroll,19
Baku City Circuit,George Russell,5
Baku City Circuit,Lewis Hamilton,7
Baku City Circuit,Charles Leclerc,1
Baku City Circuit,Carlos Sainz,4
Baku City Circuit,Alexander Albon,17
Baku City Circuit,Guanyu Zhou,14
Baku City Circuit,Valtteri Bottas,15
Baku City Circuit,Sebastian Vettel,9
Circuit Gilles Villeneuve,Lando Norris,14
Circuit Gilles Villeneuve,Pierre Gasly,15
Circuit Gilles Villeneuve,Mick Schumacher,6
Circuit Gilles Villeneuve,Kevin Magnussen,5
Circuit Gilles Villeneuve,Esteban Ocon,7
Circuit Gilles Villeneuve,Fernando Alonso,2
Circuit Gilles Villeneuve,Max Verstappen,1
Circuit Gilles Villeneuve,Sergio Pérez,13
Circuit Gilles Villeneuve,Yuki Tsunoda,20
Circuit Gilles Villeneuve,Nicholas Latifi,18
Circuit Gilles Villeneuve,Daniel Ricciardo,9
Circuit Gilles Villeneuve,Lance Stroll,17
Circuit Gilles Villeneuve,George Russell,8
Circuit Gilles Villeneuve,Lewis Hamilton,4
Circuit Gilles Villeneuve,Charles Leclerc,19
Circuit Gilles Villeneuve,Carlos Sainz,3
Circuit Gilles Villeneuve,Alexander Albon,12
Circuit Gilles Villeneuve,Guanyu Zhou,10
Circuit Gilles Villeneuve,Valtteri Bottas,11
Circuit Gilles Villeneuve,Sebastian Vettel,16
Silverstone Circuit,Lando Norris,6
Silverstone Circuit,Pierre Gasly,11
Silverstone Circuit,Mick Schumacher,19
Silverstone Circuit,Kevin Magnussen,17
Silverstone Circuit,Esteban Ocon,15
Silverstone Circuit,Fernando Alonso,7
Silverstone Circuit,Max Verstappen,2
Silverstone Circuit,Sergio Pérez,4
Silverstone Circuit,Yuki Tsunoda,13
Silverstone Circuit,Nicholas Latifi,10
Silverstone Circuit,Daniel Ricciardo,14
Silverstone Circuit,Lance Stroll,20
Silverstone Circuit,George Russell,8
Silverstone Circuit,Lewis Hamilton,5
Silverstone Circuit,Charles Leclerc,3
Silverstone Circuit,Carlos Sainz,1
Silverstone Circuit,Alexander Albon,16
Silverstone Circuit,Guanyu Zhou,9
Silverstone Circuit,Valtteri Bottas,12
Silverstone Circuit,Sebastian Vettel,18
Red Bull Ring,Lando Norris,10
Red Bull Ring,Pierre Gasly,14
Red Bull Ring,Mick Schumacher,9
Red Bull Ring,Kevin Magnussen,7
Red Bull Ring,Esteban Ocon,6
Red Bull Ring,Fernando Alonso,19
Red Bull Ring,Max Verstappen,1
Red Bull Ring,Sergio Pérez,5
Red Bull Ring,Yuki Tsunoda,16
Red Bull Ring,Nicholas Latifi,17
Red Bull Ring,Daniel Ricciardo,11
Red Bull Ring,Lance Stroll,12
Red Bull Ring,George Russell,4
Red Bull Ring,Lewis Hamilton,8
Red Bull Ring,Charles Leclerc,2
Red Bull Ring,Carlos Sainz,3
Red Bull Ring,Alexander Albon,15
Red Bull Ring,Guanyu Zhou,13
Red Bull Ring,Valtteri Bottas,0
Red Bull Ring,Sebastian Vettel,18
Circuit Paul Ricard,Lando Norris,5
Circuit Paul Ricard,Pierre Gasly,14
Circuit Paul Ricard,Mick Schumacher,17
Circuit Paul Ricard,Kevin Magnussen,20
Circuit Paul Ricard,Esteban Ocon,10
Circuit Paul Ricard,Fernando Alonso,7
Circuit Paul Ricard,Max Verstappen,2
Circuit Paul Ricard,Sergio Pérez,3
Circuit Paul Ricard,Yuki Tsunoda,8
Circuit Paul Ricard,Nicholas Latifi,18
Circuit Paul Ricard,Daniel Ricciardo,9
Circuit Paul Ricard,Lance Stroll,15
Circuit Paul Ricard,George Russell,6
Circuit Paul Ricard,Lewis Hamilton,4
Circuit Paul Ricard,Charles Leclerc,1
Circuit Paul Ricard,Carlos Sainz,19
Circuit Paul Ricard,Alexander Albon,13
Circuit Paul Ricard,Guanyu Zhou,16
Circuit Paul Ricard,Valtteri Bottas,11
Circuit Paul Ricard,Sebastian Vettel,12
Hungaroring,Lando Norris,4
Hungaroring,Pierre Gasly,0
Hungaroring,Mick Schumacher,15
Hungaroring,Kevin Magnussen,13
